# Clean rows: 102
94600 | Tran Ha | ha.tran13@gmail.com | 2005-03-20 | BacNinh | math=7.5 | lit=6.2 | eng=6.2
194602 | Dang Trang | trang.dang87@gmail.com | 1999-12-28 | HaNoi | math=7.9 | lit=8.6 | eng=8.8
194603 | Pham Linh | linh.pham67@gmail.com | 2006-01-31 | QuangNinh | math=6.4 | lit=9.3 | eng=3.4
194604 | Ngo Huy | huy.ngo64@gmail.com | 2002-02-12 | NgheAn | math=6.4 | lit=6.1 | eng=6.6
194605 | Tran Anh | anh.tran58@gmail.com | 2001-11-10 | HCM | math=6.8 | lit=6.7 | eng=8.1
194606 | Ngo Minh | minh.ngo68@gmail.com | 2001-09-04 | NamDinh | math=5.6 | lit=9.6 | eng=5.1
194608 | Nguyen Anh | anh.nguyen94@gmail.com | 2006-01-16 | HaiPhong | math=8.9 | lit=9.9 | eng=9.7
194609 | Tran My | my.tran58@gmail.com | 2000-08-25 | CanTho | math=7.3 | lit=9.2 | eng=8.3
194610 | Pham Thao | thao.pham95@gmail.com | 2005-07-14 | CanTho | math=8.5 | lit=8.4 | eng=8.7
194611 | Le Ha | ha.le78@gmail.com | 2006-01-29 | BacNinh | math=6.2 | lit=7.3 | eng=4.3
194612 | Do Duc | duc.do98@gmail.com | 2007-05-14 | NamDinh | math=6.1 | lit=6.6 | eng=4.0
194613 | Pham Minh | minh.pham14@gmail.com | 2004-06-01 | BacGiang | math=6.6 | lit=6.3 | eng=3.0
194614 | Truong Quang | quang.truong50@gmail.com | 2000-07-08 | HaiPhong | math=8.3 | lit=7.0 | eng=8.9
194615 | Le Nam | nam.le43@gmail.com | 2004-10-19 | DaNang | math=6.2 | lit=7.8 | eng=8.2
194616 | Phan Quang | quang.phan84@gmail.com | 2003-05-14 | ThanhHoa | math=6.8 | lit=10.0 | eng=5.4
194617 | Tran Nam | nam.tran16@gmail.com | 2000-01-18 | LamDong | math=5.5 | lit=8.1 | eng=3.3
194618 | Bui Linh | linh.bui18@gmail.com | 2000-01-12 | ThanhHoa | math=6.9 | lit=10.0 | eng=4.3
194619 | Ly Phuong | phuong.ly11@gmail.com | 2000-07-29 | Hue | math=8.6 | lit=8.4 | eng=8.9
194620 | Duong Dung | dung.duong92@gmail.com | 2001-08-21 | NgheAn | math=5.6 | lit=7.2 | eng=6.6
194621 | Truong Khanh | khanh.truong43@gmail.com | 2001-10-03 | NamDinh | math=8.8 | lit=7.5 | eng=3.4
194622 | Hoang Ha | ha.hoang91@gmail.com | 2004-01-29 | NamDinh | math=8.0 | lit=5.8 | eng=3.6
